Imo,Imo,Violence,2022-11-26,guardian,"Sam Mbakwe International Cargo Airport, F106, Enyiogugu, Aboh-Mbaise, Imo, 462103, Nigeria",7.204520853248672,5.42797015
Ondo,Ondo,Sexual abuse,2022-11-29,guardian,"Ondo, Ondo West, Ondo, Nigeria",4.833333,7.1
Katsina,Rimi,Others crimes,2022-11-15,guardian,"Rimi, Katsina, Nigeria",7.696459996206579,12.8442411
Ogun,Obafemi Owode,Others crimes,2022-11-10,guardian,"Obafemi Owode, Ogun, Nigeria",3.4444617483436986,6.92400835
Ondo,Ondo,Others crimes,2022-11-07,guardian,"Ondo, Ondo West, Ondo, Nigeria",4.833333,7.1
Ondo,Ose,Fraud,2022-11-05,guardian,"Ose, Ondo, Nigeria",5.72865134362812,7.05101395
Kebbi,Birnin Kebbi,Drug trafficking,2022-11-03,guardian,"Birnin Kebbi, Kebbi, Nigeria",4.2006114,12.4573462
Enugu,Nsukka,Abduction,2022-10-30,guardian,"Nsukka, Enugu, 410001, Nigeria",7.3927,6.8561
Cross River,Ikom,Robbery,2022-10-25,guardian,"Ikom, Cross River, Nigeria",8.7239694,5.962765
Ebonyi,Abakaliki,Drug trafficking,2022-10-25,guardian,"Abakaliki, Ebonyi, Nigeria",8.1133202,6.3208897
Borno,Maiduguri,Others crimes,2022-10-16,guardian,"Maiduguri, Borno, 600233, Nigeria",13.1536214,11.8395375
Osun,Ila,Abduction,2022-10-11,guardian,"Ila, Ilesha West, Osun, Nigeria",4.666667,7.666667
Edo,Edo,Robbery,2022-09-27,guardian,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Ondo,Ose,Robbery,2022-09-27,guardian,"Ose, Ondo, Nigeria",5.72865134362812,7.05101395
Oyo,Iwajowa,Terrorism,2022-09-28,guardian,"Iwajowa, Oyo, Nigeria",2.98873466669142,7.990133500000001
Delta,Warri South,Robbery,2022-09-26,guardian,"Warri South, Delta, Nigeria",5.6514533,5.626158
Plateau,Shendam,Robbery,2022-09-26,guardian,"Shendam, Plateau, Nigeria",9.5396638,8.878179
Plateau,Shendam,Robbery,2022-09-26,guardian,"Shendam, Plateau, Nigeria",9.5396638,8.878179
Niger,Niger,Robbery,2022-09-26,guardian,"Le Niger, Chulu Gumbi, Yauri, Kebbi, Nigeria",4.6806854,10.6116505
Edo,Edo,Terrorism,2022-09-26,guardian,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Lagos,Lagos,Violence,2022-09-16,guardian,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Kwara,Asa,Violence,2022-09-11,guardian,"Asa, Kwara, 240104, Nigeria",4.442381499804297,8.41326505
Lagos,Lagos,Robbery,2022-09-11,guardian,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Osun,Ila,Robbery,2022-09-07,guardian,"Ila, Ilesha West, Osun, Nigeria",4.666667,7.666667
Plateau,Jos South,Abduction,2022-09-08,guardian,"Jos South, Plateau, 930101, Nigeria",8.848780461155847,9.7587528
Osun,Osun,Robbery,2022-09-06,guardian,"Oṣun, Osun, Nigeria",4.1050626,7.2364371
Sokoto,Goronyo,Terrorism,2022-09-05,guardian,"Goronyo, Sokoto, Nigeria",5.6738295,13.4400866
Ogun,Ogun,Drug trafficking,2022-09-02,guardian,"Ogun, Nigeria",3.5004784,7.3894478
